course_title,platform,tags,level,rating,url
Agile Projects:  Developing Tasks with Taiga,Coursera,project  modeling  Project Management  agile management  user story  presentation  Product Development  Leadership and Management  documents  Web Design business business-strategy,Beginner,4.0,https://www.coursera.org/learn/developing-agile-tasks-taiga
Esports Management Capstone Project,Coursera,Average  Planning  Leadership and Management  Peer Review  Strategy  peering  evaluation  Recruiting  project  interest business leadership-and-management,Beginner,4.4,https://www.coursera.org/learn/esports-management-capstone-project
Hacking and Patching,Coursera,Security Design  design pattern  web application  internet security  SQL  select (sql)  metasploit project  penetration test  security  password cracking computer-science computer-security-and-networks,Advanced,3.4,https://www.coursera.org/learn/hacking-patching
Business Statistics and Analysis Capstone,Coursera,Statistical Analysis  Microsoft Excel  business analytics  Regression Analysis  General Statistics  Data Analysis  Regression  analytics  analysis  Business Analysis data-science data-analysis,Beginner,4.7,https://www.coursera.org/learn/business-statistics-analysis-capstone
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera,evaluation  software  presentation  lookup table  Spreadsheet Software  Benefits  spreadsheet  project  index  fasting business business-essentials,Beginner,4.5,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets
Global Health: An Interdisciplinary Overview,Coursera,sustainability  research and development  Communication  health system  Leadership and Management  health research  global  disease  drug development  public health life-sciences public-health,Beginner,4.6,https://www.coursera.org/learn/global-health-overview
Python Programming Essentials,Coursera,semantics  Python Programming  coding conventions  codeskulptor  Problem Solving  syntax  Computer Programming  programming style  python syntax and semantics  euler's totient function computer-science software-development,Beginner,4.8,https://www.coursera.org/learn/python-programming
Creating Dashboards and Storytelling with Tableau,Coursera,neuroscience  Data Visualization  Storytelling  tableau software  business analytics  checklists  software  method of analytic tableaux  javascript syntax  audience data-science data-analysis,Advanced,4.6,https://www.coursera.org/learn/dataviz-dashboards
Parallel programming,Coursera,Data Structures  parallel algorithm  openfabrics alliance  task parallelism  unified parallel c  Algorithms  data parallelism  scala programming  parallel computing  Computer Programming computer-science software-development,Beginner,4.4,https://www.coursera.org/learn/parprog1
Recommendation Systems with TensorFlow on GCP,Coursera,systems architecture  Cloud Computing  Google Cloud Platform  Tensorflow  Deep Learning  Cloud Platforms  Machine Learning  matrices  Artificial Neural Networks  recommender systems data-science machine-learning,Advanced,4.2,https://www.coursera.org/learn/recommendation-models-gcp
The Changing Arctic,Coursera,Human Learning  Geology  curiosity  methane  Problem Solving  plant  biologist  resource  dam  volatile organic compound life-sciences basic-science,Not Calibrated,4.3,https://www.coursera.org/learn/changing-arctic
COVID-19 - A clinical update,Coursera,disease  mechanical ventilation  vaccine  outbreak  epidemic  medical history  intubation  Epidemics  patient  social distancing life-sciences patient-care,Beginner,4.7,https://www.coursera.org/learn/covid19clinicalupdate
How to Create Text Effects in GIMP,Coursera,pointing device gesture  r&d management  Gradient  lambda lifting  ordered pair  english grammar  top-down and bottom-up design  standing ovation  path (variable)  project computer-science design-and-product,Beginner,4.7,https://www.coursera.org/learn/how-to-create-text-effects-in-gimp
Preparing for the Google Cloud Professional Data Engineer Exam,Coursera,business requirements  Cloud Computing  Google Cloud Platform  information engineering  Cloud Platforms  google cloud dataproc  dataflow  Databases  bigquery  Machine Learning information-technology cloud-computing,Beginner,4.5,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam
Multiple Regression Analysis in Public Health,Coursera,Regression Analysis  Regression  public health  Confounding  interaction (statistics)  Estimation  linear regression  Confidence Interval  odds ratio  Logistic Regression life-sciences health-informatics,Intermediate,4.6,https://www.coursera.org/learn/multiple-regression-analysis-public-health
General Pathophysiology,Coursera,medicine  biomedical sciences  microcirculation  physiology  endocrinology  biochemistry  inflammations  pathophysiology  pathology  internal medicine life-sciences basic-science,Intermediate,4.0,https://www.coursera.org/learn/pathophysiology
Population Health: Alternative Payment Models,Coursera,incentive  Behavioral Economics  loss aversion  modeling  enabling  relative change and difference  Financial Accounting  desire  Payments  Risk life-sciences healthcare-management,Advanced,4.9,https://www.coursera.org/learn/alternative-payment-models
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera,representational state transfer  uniform resource locator  Cloud Computing  web application  ordered pair  hypertext transfer protocol  virtual private server  web  application programming interfaces  Switches information-technology cloud-computing,Advanced,5.0,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk
"Philosophy, Science and Religion: Philosophy and Religion",Coursera,ordered pair  arts and humanities  virtue  spirituality  philosophy  cognitive science  bible  belief  religion  evolution arts-and-humanities philosophy,Intermediate,4.6,https://www.coursera.org/learn/philosophy-science-religion-2
Poverty & Population: How Demographics Shape Policy,Coursera,education  Billing  political science  oppression  Population  inflation  unemployment  market (economics)  demography  social work social-sciences governance-and-society,Advanced,4.9,https://www.coursera.org/learn/poverty-population-demographics-policy
Electrodynamics: Analysis of Electric Fields,Coursera,colloid  Chemical Engineering  electronics  equipotential  high voltage  physics  physics experiments  Electrical Engineering  Studentized Residual  energy physical-science-and-engineering electrical-engineering,Intermediate,4.8,https://www.coursera.org/learn/electrodynamics-analysis-of-electric-fields
The Music of American English Pronunciation,Coursera,Receiving  english grammar  translation  data clustering algorithms  speech  music  grammar  stress  english language  phonetics language-learning learning-english,Beginner,4.7,https://www.coursera.org/learn/american-english-pronunciation-music
Fundamentals of Management,Coursera,control (management)  Planning  process  Leadership and Management  management theory  process management  leadership  management process  Change Management  organizing (management) business leadership-and-management,Beginner,4.5,https://www.coursera.org/learn/fundamentals-of-management
Advanced Speaking and Listening Project,Coursera,project  rapid serial visual presentation  panel discussion  Critical Thinking  listening  speech  english language  Language Learning  presentation  language language-learning learning-english,Advanced,5.0,https://www.coursera.org/learn/speaking-listening-capstone
Hybrid Cloud Service Mesh with Anthos,Coursera,authentication  multiplexed transport layer security  it service management  authorization  service discovery  load balancing  application layer  access control  intelligent network  traffic management information-technology cloud-computing,Beginner,4.8,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos
Dealing With Missing Data,Coursera,Estimation  Weighting  population control  sample size determination  Surveying  Missing Data  Stata  Regression  coverage error  sampling frame data-science data-analysis,Advanced,3.5,https://www.coursera.org/learn/missing-data
COBOL Programming with VSCode,Coursera,ibm cobol  numbers (spreadsheet)  relative change and difference  Computer Programming  data type  cobol  reserved word  Arithmetic  Mainframe  Continuous Function computer-science software-development,Beginner,4.7,https://www.coursera.org/learn/cobol-programming-vscode
Cryptography and Hashing Overview,Coursera,Average  Cryptography  encryption  hash function  public-key cryptography  string (computer science)  verification and validation  hashing  password  BlockChain computer-science algorithms,Conversant,4.7,https://www.coursera.org/learn/crypto-hashing
Postman - Intro to APIs (without coding),Coursera,project mine  Marketing  news  network news transfer protocol  project  Writing  application programming interfaces  uniform resource locator  numbers (spreadsheet)  interact information-technology data-management,Beginner,4.4,https://www.coursera.org/learn/laura-gemmell-intro-postman-apis
Protecting Business Innovations via Patent,Coursera,service innovation  Innovation  Patent Law  intellectual property  ordered pair  law  utility  Planning  business process  cost business business-strategy,Beginner,4.8,https://www.coursera.org/learn/protect-business-innovations-patent
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera,image processing  openbsd  optical character recognition  digital image processing  Python Programming  Tensorflow  region of interest  object detection  opencv  Machine Learning data-science machine-learning,Beginner,3.7,https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract
Global Strategy I: How The Global Economy Works,Coursera,relative change and difference  economy  competitiveness  case study  analysis  foreign direct investment  trading  Economic Models  emerging markets  global business business-strategy,Advanced,4.8,https://www.coursera.org/learn/global-strategy
Disability Inclusion in Education: Building Systems of Support,Coursera,social justice  Special Education  Learning Disability  education  empowerment  intellectual disability  learning disabilities  Causality  teaching  Child Psychology social-sciences education,Intermediate,4.8,https://www.coursera.org/learn/disability-inclusion-education
Introduction to Cybersecurity Tools & Cyber Attacks,Coursera,cyber-security regulation  cyber security standards  forensics  security  digital forensics  cybercrime  Cryptography  Cyberattacks  Leadership and Management  penetration test information-technology cloud-computing,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
Introduction to Cybersecurity Tools & Cyber Attacks,Coursera,cyber-security regulation  cyber security standards  forensics  security  digital forensics  cybercrime  Cryptography  Cyberattacks  Leadership and Management  penetration test information-technology cloud-computing,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Coursera,Communication  valuation of options  funds  online learning  Banking  Loan Repayment  Private Equity  investment banking  Finance  funding options business entrepreneurship,Beginner,4.6,https://www.coursera.org/learn/10k-women-9
Foundations of Objective-C App Development,Coursera,iOS Development  printf format string  xcode  c programming  Computer Programming  euler's totient function  objective-c  Swift Programming  c++  ordered pair computer-science mobile-and-web-development,Beginner,4.7,https://www.coursera.org/learn/objective-c
Programming Mobile Applications for Android Handheld Systems: Part 2,Coursera,notification area  interaction technique  Android Development  Software Engineering  mobile app  shell (computing)  widget (gui)  php  graphical user interface elements  Databases computer-science mobile-and-web-development,Advanced,4.7,https://www.coursera.org/learn/android-programming-2
Analyzing Market Attractiveness Using Creately,Coursera,Financial Analysis  market (economics)  Strategy  Business Strategy  attractiveness  competitiveness  supply chain  business plan  porter's five forces analysis  analysis business business-strategy,Beginner,4.7,https://www.coursera.org/learn/analyzing-market-attractiveness-creately
Personal Leadership Development Planning and Leading High Performing Teams,Coursera,personal advertisement  performance  Leadership Development  self-assessment  delegation  smart criteria  motivation  leadership  empowerment  competence (human resources) business leadership-and-management,Advanced,4.7,https://www.coursera.org/learn/leadership-development-planning
Integrating Scripts for Scene Interactions,Coursera,Switches  interactivity  experience  ordered pair  video game development  Computer Programming  computer animation  project  User Experience  Visual Design computer-science design-and-product,Advanced,4.8,https://www.coursera.org/learn/integrating-scripts-for-scene-interactions
Voices of Social Change,Coursera,social network  process  Planning  friendship  takeover  business process  relative change and difference  design thinking  social work  brainstorming personal-development personal-development,Beginner,4.7,https://www.coursera.org/learn/voicesofsocialchange
"Managing Asthma, Allergies, Diabetes, and Seizures in School",Coursera,health care  first aid  medication  asthma  allergy  glucose  emergency  emergency management  symptoms  Leadership and Management life-sciences patient-care,Beginner,4.8,https://www.coursera.org/learn/managing-asthma-allergies-diabetes-and-seizures-in-school
Global Challenges in Business Capstone,Coursera,supply chain  global  pricing  market segmentation  go to market  market (economics)  corporate social responsibility  strategic management  Target Market  added value business business-essentials,Advanced,4.5,https://www.coursera.org/learn/global-challenges-business-capstone
Severe to Profound Intellectual Disability: Circles of Care and Education,Coursera,lifelong learning  process  Special Education  intellectual disability  developmental disabilities  education  child  intellectual  autism  facilitation life-sciences healthcare-management,Intermediate,4.7,https://www.coursera.org/learn/intellectual-disability-care-education
Teaching Children with Visual Impairment: Creating Empowering Classrooms,Coursera,child development  education  teaching  peer support  Special Education  experience  learning styles  psychosocial  assistive technology  child social-sciences education,Beginner,4.9,https://www.coursera.org/learn/teach-children-with-visual-impairment
Intercultural Communication and Conflict Resolution,Coursera,relative change and difference  international relations  psychological first aid  cross-cultural communication  Planning  Office Administration  intercultural communication  Communication  Culture  conflict resolution business business-essentials,Advanced,4.3,https://www.coursera.org/learn/intercultural-communication
Prediction and Control with Function Approximation,Coursera,reinforcement  Gradient  gradient descent  Reinforcement Learning  approximation  markov decision process  euler's totient function  function approximation  Human Learning  table of keyboard shortcuts data-science machine-learning,Beginner,4.8,https://www.coursera.org/learn/prediction-control-function-approximation
Advanced Neurobiology I,Coursera,action potential  biochemistry  neuron (software)  anatomy  pharmacology  neurobiology  neuroscience  biology  alzheimer's disease  molecular biology life-sciences basic-science,Beginner,3.5,https://www.coursera.org/learn/Advanced-neurobiology1
Foundations of Teaching for Learning: Introduction,Coursera,psychology  Human Learning  interpersonal relationships  educational practices  teaching  teaching method  proactivity  thought  child development  Planning social-sciences education,Intermediate,4.5,https://www.coursera.org/learn/teaching
Change Leadership: Developing Force Field Analysis in Miro,Coursera,business case  personal advertisement  Mapping  Planning  project  Map  e-nable  Change Management  Writing  enabling business business-strategy,Advanced,5.0,https://www.coursera.org/learn/change-force-analysis
Lesson | Telephone Language,Coursera,speech  language  Marketing  law  B2B Marketing  Digital Marketing  english language  online learning community  Accounting  E-Commerce language-learning learning-english,Not Calibrated,4.5,https://www.coursera.org/learn/lesson-telephone-language
Python Tricks and Hacks for Productivity,Coursera,Computer Programming  Transpose  concision  Python Programming  Software Engineering  grasp  project  Operations Management  progress bar  dict computer-science software-development,Advanced,4.1,https://www.coursera.org/learn/python-hacks
Privacy in the USA,Coursera,american law  personally identifiable information  security  privacy  data protection  telecommunications  litigation public relations  financial privacy  stemming  law social-sciences law,Advanced,4.6,https://www.coursera.org/learn/privacy-laws-us
Japanese for beginners 2,Coursera,shopping  japanese language  grammar  Writing  materials  linguistics  listening  korean language  process  video game development language-learning other-languages,Beginner,4.4,https://www.coursera.org/learn/japanese-2
Introduction to Recommender Systems:  Non-Personalized and Content-Based,Coursera,demography  Tf Idf  Summary Statistics  recommender systems  information retrieval  recursively enumerable set  personalization  preference  tracking  Machine Learning data-science machine-learning,Beginner,4.3,https://www.coursera.org/learn/recommender-systems-introduction
Global Disease Masterclass: Global Disease Distribution,Coursera,global  Determinants  General Statistics  Risk  Studentized Residual  health data  risk factors  Risk Factor  Chi-Squared Distribution  disease life-sciences public-health,Beginner,4.5,https://www.coursera.org/learn/global-disease-distribution
Age of Cathedrals,Coursera,architecture  art  bible  Art History  glassing  middle age  ageing  mother  Autoregressive Conditional Heteroskedasticity  history arts-and-humanities history,Intermediate,4.7,https://www.coursera.org/learn/age-of-cathedrals
Smart Contracts,Coursera,client (computing)  BlockChain  access modifiers  interfaces  tracing (software)  teleprocessing monitor  smart contract  deployment environment  ethereum  solidity computer-science software-development,Advanced,4.6,https://www.coursera.org/learn/smarter-contracts
Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera,gamification of learning  project  process  .properties  hold  java annotation  source lines of code  e-nable  teaching method  parenting computer-science software-development,Advanced,5.0,https://www.coursera.org/learn/create-fps-weapon-unity-revolver
Homeland Security and Cybersecurity Future,Coursera,Leadership and Management  crime  Risk  criminology  security  computer and network surveillance  no silver bullet  trade-off  cybercrime  risk analysis social-sciences governance-and-society,Intermediate,4.6,https://www.coursera.org/learn/homeland-security-cybersecurity-future
Healthcare Consumerism and Implication for Care Delivery,Coursera,Healthcare Management  emotion  insurance  Change Management  voice of the customer  Leadership and Management  nutrition  fee-for-service  Human Learning  ecosystems life-sciences healthcare-management,Intermediate,4.5,https://www.coursera.org/learn/healthcareconsumerism
Magna Carta and its Legacies: Freedom and protest,Coursera,land law  go (programming language)  english language  historiography  history of ideas  authority  constitution  law  history  common law arts-and-humanities history,Intermediate,4.4,https://www.coursera.org/learn/magna-carta
Converter Circuits,Coursera,modeling  analysis  sensitivity index  topology  electronics  Electrical Engineering  Switches  simulation  power electronics  Electronic Design physical-science-and-engineering electrical-engineering,Advanced,4.8,https://www.coursera.org/learn/converter-circuits
Predictive Modeling and Analytics,Coursera,Logistic Regression  analytics  predictive analytics  Regression  Data Analysis  Regression Analysis  supply chain  analysis  linear regression  predictive modelling data-science data-analysis,Advanced,3.0,https://www.coursera.org/learn/predictive-modeling-analytics
Animals and Institutions,Coursera,livestock  animal  veterinary  veterinary medicine  captivity  dieting  sports  animal science  medicine  evaluation social-sciences governance-and-society,Beginner,5.0,https://www.coursera.org/learn/animals-institutions
ART of the MOOC: Public Art and Pedagogy,Coursera,educational entertainment  level of analysis  history of rock  art therapy  history  art  case study  interview  Critical Thinking  media & citizenship arts-and-humanities music-and-art,Not Calibrated,4.6,https://www.coursera.org/learn/public-art-pedagogy
Genetics and Society: A Course for Educators,Coursera,biology  genetically modified organisms  medicine  genetics  genomics  agriculture  stem cell  history of genetics  dna profiling  comparative genomics life-sciences basic-science,Intermediate,4.7,https://www.coursera.org/learn/genetics-society
Russian History: from Lenin to Putin,Coursera,foreign policy  Russian  Note Taking  market price  Art History  latex  essay writing  arts and humanities  history  war arts-and-humanities history,Intermediate,4.7,https://www.coursera.org/learn/russian-history-lenin-putin
Packet Switching Networks and Algorithms,Coursera,packet switching  traffic management  network layer  routing  random early detection  network topology  token bucket  routing protocol  topology  open shortest path first computer-science computer-security-and-networks,Advanced,4.6,https://www.coursera.org/learn/packet-switching-networks-algorithms
Transgender Medicine for General Medical Providers,Coursera,therapy  Medical Practice  behavior therapy  Medical Statistics  medicine  good clinical practice  Surgery  hormone replacement therapy  hormone  women's health life-sciences patient-care,Intermediate,4.8,https://www.coursera.org/learn/transgender-medicine
Epigenetic Control of Gene Expression,Coursera,Cancer  reproductive technology  Dna Methylation  assisted reproductive technology  gene expression  DNA  gene  genetics  stem cell  Cancer Epigenetics life-sciences basic-science,Beginner,4.8,https://www.coursera.org/learn/epigenetics
Successful Interviewing,Coursera,Strategy  canned response  show me!  interview  career  technology strategy  experience  english language  speech  self-assessment language-learning learning-english,Advanced,4.7,https://www.coursera.org/learn/successful-interviewing
The hidden value � Lean in manufacturing and services,Coursera,Kaizen  Mapping  value stream mapping  manufacturing process management  process  lean manufacturing  lean thinking  streams  thought  Lean Methods business business-essentials,Intermediate,4.7,https://www.coursera.org/learn/lean-manufacturing-services
Mastering SQL Joins,Coursera,aggregate function  project  employment  sorting  more than two  modulo operation  Data Analysis  euler's totient function  project mine  ascendency data-science data-analysis,Advanced,4.0,https://www.coursera.org/learn/mastering-sql-joins
Create a Database with the Modeling Tool in MySQL Workbench,Coursera,Databases  java annotation  integrated development environments  mysql  database management systems  user interface  mysql workbench  table (database)  relational database  Database Design information-technology data-management,Intermediate,4.7,https://www.coursera.org/learn/create-database-with-modeling-tool-mysql-workbench
Project Planning and Machine Learning,Coursera,Machine Learning Algorithms  Planning  internet of things  project  process  system u  project planning  Big Data  project plan  Machine Learning computer-science design-and-product,Beginner,4.4,https://www.coursera.org/learn/industrial-iot-project-planning-machine-learning
Build Random Forests in R with Azure ML Studio,Coursera,forest  Writing  Random Forest  evaluation  Machine Learning  Python Programming  R Programming  randomness  Experiment  Feature Engineering data-science machine-learning,Beginner,4.7,https://www.coursera.org/learn/azure-machine-learning-studio-random-forests
"Introduction to CAD, CAM, and Practical CNC Machining",Coursera,Autodesk  CNC Machine  physics  3d modeling  Chemical Engineering  manufacturing process management  programming tool  computer-aided design  Mechanical Engineering  autocad physical-science-and-engineering mechanical-engineering,Beginner,4.8,https://www.coursera.org/learn/introduction-cad-cam-practical-cnc-machining
Problem Solving Using Computational Thinking,Coursera,Epidemiology  relative change and difference  decomposition  Problem Solving  evaluation  problem statement  Computational Thinking  human trafficking  Algorithms  hindley milner type system computer-science algorithms,Beginner,4.7,https://www.coursera.org/learn/compthinking
"Surveillance Systems: Analysis, Dissemination, and Special Systems",Coursera,disease  disease surveillance  Epidemiology  public health surveillance  antimicrobial resistance  public health  antimicrobials  prevention  non-communicable disease  risk factors life-sciences public-health,Intermediate,4.7,https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis
Control physics with C# in Unity,Coursera,c++  Computer Programming  c sharp (programming language)  video game development  language  Cartogram  physics  animation software  Civil Engineering  Electrical Engineering computer-science software-development,Beginner,4.8,https://www.coursera.org/learn/controlling-physics-c-sharp-unity
Create Relational Database Tables Using SQLiteStudio,Coursera,database management systems  Databases  web browsers  BlockChain  relational database  sqlite  web  Average  SQL  table (database) information-technology data-management,Beginner,4.7,https://www.coursera.org/learn/create-relational-database-table-sqlitestudio
Spacecraft Dynamics Capstone: Mars Mission,Coursera,simulation  daughter  autonomous cars  tracking  numerical analysis  Framing  computer simulation  satellite  Mechanical Engineering  physics physical-science-and-engineering physics-and-astronomy,Advanced,4.8,https://www.coursera.org/learn/capstone-mars-mission
Guided Imagery,Coursera,functional medicine  music  meditation  counseling psychology  psychotherapy  healing  guided imagery  patient  hypnosis  naturopathy life-sciences research,Intermediate,4.8,https://www.coursera.org/learn/guided-imagery
Making Architecture,Coursera,Design Analysis  modeling  Interior Design  architecture  thought  architectural design  Landscape Design  Landscape Architecture  analysis  Creativity arts-and-humanities music-and-art,Intermediate,4.8,https://www.coursera.org/learn/making-architecture
Building Resilient Streaming Analytics Systems on GCP,Coursera,Cloud Computing  bigquery  bigtable  dataflow  query optimization  stream processing  Google Cloud Platform  streams  mathematical optimization  publish subscribe pattern information-technology cloud-computing,Advanced,4.6,https://www.coursera.org/learn/streaming-analytics-systems-gcp
Types of Conflict,Coursera,conflict resolution  Leadership and Management  Office Administration  active listening  Communication  Employee Relations  sociology  psychology  interpersonal communication  Conflict Management business business-essentials,Intermediate,4.3,https://www.coursera.org/learn/types-of-conflict
Product Design: Designing a modern table lamp using SketchUp,Coursera,sketchup  lamp (software bundle)  Web Design  Graphic Design  Graphics Software  3d graphics software  rendering (computer graphics)  Product Design  Computer Graphics  3d computer graphics computer-science design-and-product,Beginner,4.7,https://www.coursera.org/learn/product-design-designing-a-modern-table-lamp-using-sketchup
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Coursera,ecotourism  the economics of ecosystems and biodiversity  political science  circular economy  history  economics of sustainability  sustainability  climate change  biodiversity  biodiversity loss social-sciences governance-and-society,Beginner,4.6,https://www.coursera.org/learn/beyond-the-sustainable-development-goals-addressing-sustainability-and-development
The New Nordic Diet - from Gastronomy to Health,Coursera,dietetics  dieting  sustainability  cardiovascular disease  diet (nutrition)  acceptance  nutrition  lifestyle disease  eating  diets life-sciences nutrition,Beginner,4.5,https://www.coursera.org/learn/new-nordic-diet
Voice Disorders: What Patients and Professionals Need to Know,Coursera,anatomy  Speech Language Pathology  sign language  communication disorder  music  Music Therapy  speech and language pathology  medicine  performance  human voice life-sciences patient-care,Intermediate,4.9,https://www.coursera.org/learn/voice-disorders
Teaching Tips for Tricky English Grammar,Coursera,collocation  formal grammar  teaching  english grammar  assistant teacher  grammar  japanese language  english language  adjective  Student's t-Distribution language-learning learning-english,Intermediate,4.7,https://www.coursera.org/learn/teaching-common-grammar-mistakes
"Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration",Coursera,specification (technical standard)  iteration  code segment  test case  modulo operation  modeling  market segmentation  for loop  boolean expression  method (computer programming) social-sciences education,Advanced,0.0,https://www.coursera.org/learn/teach-java-boolean-expressions-if-statements-iteration
Business Writing,Coursera,Business Writing  email writing  Writing  english language  confidence  Communication  Business Communication  email  presentation  grammar business business-essentials,Beginner,4.7,https://www.coursera.org/learn/writing-for-business
Cyber Threats and Attack Vectors,Coursera,passive attack  security  data breaches  vulnerability (computing)  cloud computing security  resource  wireless  breach (security exploit)  threat  Cloud Computing information-technology security,Intermediate,4.6,https://www.coursera.org/learn/cyber-threats-attack-vectors
Build a Table Layout App in Android Studio,Coursera,android studio  upload  matching  java (software platform)  Java Programming  Android Development  drop-down list  Software Engineering  text box  Computer Programming computer-science mobile-and-web-development,Beginner,4.5,https://www.coursera.org/learn/build-table-layout-app-android-studio
Introduction to Genomic Technologies,Coursera,Statistical Analysis  genomics  genetics  molecular biology  General Statistics  biology  Bioinformatics  analysis  Biostatistics  computational biology data-science data-analysis,Conversant,4.5,https://www.coursera.org/learn/introduction-genomics
Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),Coursera,leadership  project  Strategy  patient safety  maximization (psychology)  project planning  sustainability  augmented assignment  project plan  Change Management life-sciences patient-care,Intermediate,4.5,https://www.coursera.org/learn/patient-safety-sustainment
Big data and Language 2,Coursera,text corpus  relative change and difference  language  linguistics  corpora  process  analysis  Big Data  corpus linguistics  search engine optimization language-learning learning-english,Advanced,5.0,https://www.coursera.org/learn/big-data-language-2
Understanding the Australian economy: An introduction to macroeconomic and financial policies,Coursera,Finance  economy  inflation  Causality  fiscal policy  gross domestic product  Economics  banking in australia  monetary policy  crisis social-sciences economics,Intermediate,4.6,https://www.coursera.org/learn/australian-economy
Bayesian Statistics: Mixture Models,Coursera,data clustering algorithms  Mixture Model  Bayesian Statistics  mixture distribution  markov chain  Algorithms  Studentized Residual  sampling statistics  General Statistics  Bayesian data-science data-analysis,Beginner,4.8,https://www.coursera.org/learn/mixture-models
Networking and Security in iOS Applications,Coursera,oauth  javascript syntax  iOS Development  authentication  hypertext transfer protocol  uniform resource locator  web service  single sign-on  web  push technology computer-science computer-security-and-networks,Advanced,4.6,https://www.coursera.org/learn/security
Improving Math Engagement with Prodigy,Coursera,Accounting  Mathematics  student engagement  child  Strategy  Factorial  project mine  home  home directory  project social-sciences education,Beginner,4.8,https://www.coursera.org/learn/teaching-prodigy
Molecular Evolution (Bioinformatics IV),Coursera,Bioinformatics  phylogenetic tree  introduction to evolution  Molecular Evolution  hindley milner type system  evolution  computational biology  phylogenetics  genomics  biotechnology life-sciences health-informatics,Advanced,4.7,https://www.coursera.org/learn/molecular-evolution
Exception Handling in Python,Coursera,Python Programming  exception handling  relative change and difference  approximation error  ordered pair  compiler  Type I And Type Ii Errors  Computer Programming  project  syntax computer-science software-development,Beginner,4.7,https://www.coursera.org/learn/exception-handling-in-python
FinTech Foundations and Overview,Coursera,financial services  Finance  financial services companies  trading  BlockChain  Innovation  Payments  stock  FinTech  cryptocurrency business finance,Intermediate,4.7,https://www.coursera.org/learn/fintech
Information & Digital Literacy for University Success,Coursera,evaluation  information source  sources  Writing  brainstorming  Critical Thinking  organizing (management)  web content  Communication  digital identity social-sciences education,Beginner,4.9,https://www.coursera.org/learn/digital-literacy
